id,name,release,meter,score,thumb,summary
22,All About Eve,10/13/1950,99,94,https://resizing.flixster.com/yggLsAYbeDjkVwc4XYDnXCISjoY=/206x305/v2/https://flxt.tmsimg.com/assets/p4804_p_v8_ae.jpg,"Backstage story revolving around aspiring actress Eve Harrington. Tattered and forlorn, Eve shows up in the dressing room of Broadway mega-star Margo Channing, telling a melancholy life story to Margo and her friends. Margo takes Eve under her wing, and it appears that Eve is a conniver that uses Margo."
23,The Cabinet of Dr. Caligari,3/19/1921,99,89,https://resizing.flixster.com/ssLXRP0Aj_VPh5aY8Himo0-G5bY=/206x305/v2/https://flxt.tmsimg.com/assets/p6890_p_v8_aa.jpg,"At a carnival in Germany, Francis (Friedrich Feher) and his friend Alan (Rudolf Lettinger) encounter the crazed Dr. Caligari (Werner Krauss). The men see Caligari showing off his somnambulist, Cesare (Conrad Veidt), a hypnotized man who the doctor claims can see into the future. Shockingly, Cesare then predicts Alan's death, and by morning his chilling prophecy has come true -- making Cesare the prime suspect. However, is Cesare guilty, or is the doctor controlling him?"
24,The Philadelphia Story,12/1/1940,100,93,https://resizing.flixster.com/exwjnYZq6z7R6ArCbJaWw_UhcNQ=/206x305/v2/https://flxt.tmsimg.com/NowShowing/43366/43366_aa.jpg,"This classic romantic comedy focuses on Tracy Lord (Katharine Hepburn), a Philadelphia socialite who has split from her husband, C.K. Dexter Haven (Cary Grant), due both to his drinking and to her overly demanding nature. As Tracy prepares to wed the wealthy George Kittredge (John Howard), she crosses paths with both Dexter and prying reporter Macaulay Connor (James Stewart). Unclear about her feelings for all three men, Tracy must decide whom she truly loves."
25,Roma,11/21/2018,96,72,https://resizing.flixster.com/kv0MM7-faT2tM84okqQIBKIJKdE=/206x305/v2/https://resizing.flixster.com/yN7J1Rt9nt7NWrTpZ2AZ_wG1KDc=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2RlZGU3NzUwLWI3ZDAtNGQyZS1iZGNmLTdhOWM2ODc1ZjMwNS53ZWJw,"Cleo is one of two domestic workers who help Antonio and Sofà­a take care of their four children in 1970s Mexico City. Complications soon arise when Antonio suddenly runs away with his mistress and Cleo finds out that she's pregnant. When Sofà­a decides to take the kids on vacation, she invites Cleo for a much-needed getaway to clear her mind and bond with the family."
26,Wonder Woman,6/2/2017,93,83,https://resizing.flixster.com/p-HOJaN0VMXetxfBExqTGYnBu0E=/206x305/v2/https://resizing.flixster.com/_rQXSgDOecndPrTGXgqj1wKvyyI=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2Q2MmJhMDFmLTA1ZmYtNDUzYi05YjU4LTllZTZjNTQyY2JlYS53ZWJw,"Before she was Wonder Woman (Gal Gadot), she was Diana, princess of the Amazons, trained to be an unconquerable warrior. Raised on a sheltered island paradise, Diana meets an American pilot (Chris Pine) who tells her about the massive conflict that's raging in the outside world. Convinced that she can stop the threat, Diana leaves her home for the first time. Fighting alongside men in a war to end all wars, she finally discovers her full powers and true destiny."
27,A Star Is Born,10/5/2018,90,79,https://resizing.flixster.com/fDr_QbDwHqhMJb7r4tO5QwcFH5A=/206x305/v2/https://flxt.tmsimg.com/assets/p14603082_p_v8_ac.jpg,"Seasoned musician Jackson Maine discovers -- and falls in love with -- struggling artist Ally. She has just about given up on her dream to make it big as a singer until Jackson coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jackson fights an ongoing battle with his own internal demons."
28,Inside Out,6/19/2015,98,89,https://resizing.flixster.com/MoZyKqH_izqNZOOXvmQYECDW0KA=/206x305/v2/https://flxt.tmsimg.com/assets/p10840532_p_v12_au.jpg,"Riley (Kaitlyn Dias) is a happy, hockey-loving 11-year-old Midwestern girl, but her world turns upside-down when she and her parents move to San Francisco. Riley's emotions -- led by Joy (Amy Poehler) -- try to guide her through this difficult, life-changing event. However, the stress of the move brings Sadness (Phyllis Smith) to the forefront. When Joy and Sadness are inadvertently swept into the far reaches of Riley's mind, the only emotions left in Headquarters are Anger, Fear and Disgust."
29,A Quiet Place,4/6/2018,96,83,https://resizing.flixster.com/nRgpuCbBOmvyrCPmYI2ah6z_Jx4=/206x305/v2/https://flxt.tmsimg.com/assets/p14660087_p_v8_ad.jpg,"If they hear you, they hunt you. A family must live in silence to avoid mysterious creatures that hunt by sound. Knowing that even the slightest whisper or footstep can bring death, Evelyn and Lee are determined to find a way to protect their children while desperately searching for a way to fight back."
30,One Night in Miami,12/25/2020,98,78,https://resizing.flixster.com/Wwr-rBM4s1fFjxpHOmKCanWUy80=/206x305/v2/https://resizing.flixster.com/BQX_-EkYyODXs-5NfVnWKksbDdw=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2M1NmY4NGFjLWViZGEtNDUwMi1hMjhmLTQ4OWIzZjdhMGM0MS5qcGc=,"On one incredible night in 1964, four icons of sports, music, and activism gathered to celebrate one of the biggest upsets in boxing history. When underdog Cassius Clay, soon to be called Muhammad Ali, (Eli Goree), defeats heavy weight champion Sonny Liston at the Miami Convention Hall, Clay memorialized the event with three of his friends: Malcolm X (Kingsley Ben-Adir), Sam Cooke (Leslie Odom Jr.) and Jim Brown (Aldis Hodge)."
31,Eighth Grade,8/3/2018,99,82,https://resizing.flixster.com/4x1wLRAYoOOPhrSTaEm2l6VgwlY=/206x305/v2/https://flxt.tmsimg.com/assets/p15283866_p_v8_aa.jpg,Thirteen-year-old Kayla endures the tidal wave of contemporary suburban adolescence as she makes her way through the last week of middle school -- the end of her thus far disastrous eighth-grade year.
32,Rebecca,4/12/1940,99,92,https://resizing.flixster.com/GDMXWexp5v06gLyD1hlXnbXrInE=/206x305/v2/https://flxt.tmsimg.com/assets/p3680_p_v8_aa.jpg,"Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter (Laurence Olivier). She must also deal with the jealous, obsessed Mrs. Danvers (Judith Anderson), the housekeeper, who will not accept her as the mistress of the house."
33,Booksmart,5/24/2019,96,77,https://resizing.flixster.com/JNfR4vupP1tlRHFriXnzfZsqPSg=/206x305/v2/https://flxt.tmsimg.com/assets/p16367922_p_v8_aa.jpg,"Academic overachievers Amy and Molly thought keeping their noses to the grindstone gave them a leg up on their high school peers. But on the eve of graduation, the best friends suddenly realize that they may have missed out on the special moments of their teenage years. Determined to make up for lost time, the girls decide to cram four years of not-to-be missed fun into one night -- a chaotic adventure that no amount of book smarts could prepare them for."
34,Logan,3/3/2017,94,90,https://resizing.flixster.com/Mddhe_J-7v_024iddFptgiMfsyw=/206x305/v2/https://resizing.flixster.com/E2ipt3mRxpjMOunk0a92QVeEhpc=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzU0MTMxZTVlLWRmZGYtNDk5Ni1hYjc0LWJkZGM4MGMxMDkyNC53ZWJw,"In the near future, a weary Logan (Hugh Jackman) cares for an ailing Professor X (Patrick Stewart) at a remote outpost on the Mexican border. His plan to hide from the outside world gets upended when he meets a young mutant (Dafne Keen) who is very much like him. Logan must now protect the girl and battle the dark forces that want to capture her."
35,His Girl Friday,1/11/1940,99,90,https://resizing.flixster.com/p4WjUQMXGRl73g8Wp-25zX-MEVY=/206x305/v2/https://flxt.tmsimg.com/assets/p801_p_v8_aa.jpg,"When hard-charging New York newspaper editor Walter Burns discovers that his ex-wife, investigative reporter Hildy Johnson, has gotten engaged to milquetoast insurance agent Bruce Baldwin, he unsuccessfully tries to lure her away from tame domestic life with a story about the impending execution of convicted murderer Earl Williams. But when Hildy discovers Williams may be innocent, her reporter instincts take over."
36,Portrait of a Lady on Fire,12/6/2019,98,92,https://resizing.flixster.com/gsZc1pYz80ISTT7UWQo2tDXkYyg=/206x305/v2/https://flxt.tmsimg.com/assets/p16966257_p_v8_ac.jpg,In 1770 the young daughter of a French countess develops a mutual attraction to the female artist commissioned to paint her wedding portrait.
37,Coco,11/22/2017,97,94,https://resizing.flixster.com/QVrYJFcTYANJ7yTwofQNHmudkuk=/206x305/v2/https://flxt.tmsimg.com/NowShowing/172117/172117_ac.jpg,"Despite his family's generations-old ban on music, young Miguel dreams of becoming an accomplished musician like his idol Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead. After meeting a charming trickster named Héctor, the two new friends embark on an extraordinary journey to unlock the real story behind Miguel's family history."
38,Dunkirk,7/21/2017,92,81,https://resizing.flixster.com/sOriY3BlvilqccExX5L_fx8IT6I=/206x305/v2/https://flxt.tmsimg.com/assets/p13153578_p_v8_af.jpg,"In May 1940, Germany advanced into France, trapping Allied troops on the beaches of Dunkirk. Under air and ground cover from British and French forces, troops were slowly and methodically evacuated from the beach using every serviceable naval and civilian vessel that could be found. At the end of this heroic mission, 330,000 French, British, Belgian and Dutch soldiers were safely evacuated."
39,Star Wars: The Last Jedi,12/15/2017,91,42,https://resizing.flixster.com/PuCzbxo0Y9O-F19JEj1_KF6buwQ=/206x305/v2/https://flxt.tmsimg.com/NowShowing/149052/149052_ac.jpg,"Luke Skywalker's peaceful and solitary existence gets upended when he encounters Rey, a young woman who shows strong signs of the Force. Her desire to learn the ways of the Jedi forces Luke to make a decision that changes their lives forever. Meanwhile, Kylo Ren and General Hux lead the First Order in an all-out assault against Leia and the Resistance for supremacy of the galaxy."
40,A Night at the Opera,11/15/1935,97,91,https://resizing.flixster.com/15I_BK8JEmfmzMnFd5f2Q-srwGM=/206x305/v2/https://flxt.tmsimg.com/assets/p646_p_v8_aa.jpg,"The Marx Brothers run amuck in the world of opera when Otis B. Driftwood (Groucho Marx) meets aspiring singer Ricardo (Allan Jones), who is determined to win the love of fellow performer Rosa (Kitty Carlisle). Aided by Fiorello (Chico Marx) and Tomasso (Harpo Marx), Otis attempts to unite the young couple, but faces opposition from the preening star Lassparri (Walter Woolf King), who also has his sights on Rosa. Traveling from Italy to New York, Otis and friends rally to try and win the day."
41,The Shape of Water,12/22/2017,92,72,https://resizing.flixster.com/wi190aXTE53F0qm5ZixZDjRLMDU=/206x305/v2/https://resizing.flixster.com/2tC2bjnIuOh-qCRlwTpILHRtqKA=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzNkMjY1MjQzLTdlMTItNDkxZi1hYTk5LTg5N2I1YWJiNzE3Zi53ZWJw,"Elisa is a mute, isolated woman who works as a cleaning lady in a hidden, high-security government laboratory in 1962 Baltimore. Her life changes forever when she discovers the lab's classified secret -- a mysterious, scaled creature from South America that lives in a water tank. As Elisa develops a unique bond with her new friend, she soon learns that its fate and very survival lies in the hands of a hostile government agent and a marine biologist."
42,Thor: Ragnarok,11/3/2017,93,87,https://resizing.flixster.com/JuiNcQBYggEOrN5PbIVv0fq7SJA=/206x305/v2/https://flxt.tmsimg.com/assets/p12402331_p_v8_ax.jpg,"Imprisoned on the other side of the universe, the mighty Thor finds himself in a deadly gladiatorial contest that pits him against the Hulk, his former ally and fellow Avenger. Thor's quest for survival leads him in a race against time to prevent the all-powerful Hela from destroying his home world and the Asgardian civilization."
43,Spotlight,11/20/2015,97,93,https://resizing.flixster.com/LIhzY3fIknjnK9MiRtZzRYuNWVM=/206x305/v2/https://flxt.tmsimg.com/assets/p11897076_p_v8_aa.jpg,"In 2001, editor Marty Baron of The Boston Globe assigns a team of journalists to investigate allegations against John Geoghan, an unfrocked priest accused of molesting more than 80 boys. Led by editor Walter ""Robby"" Robinson (Michael Keaton), reporters Michael Rezendes (Mark Ruffalo), Matt Carroll and Sacha Pfeiffer interview victims and try to unseal sensitive documents. The reporters make it their mission to provide proof of a cover-up of sexual abuse within the Roman Catholic Church."
44,The Farewell,8/2/2019,97,87,https://resizing.flixster.com/64jJmSUVTHbz39YkBoetucD2Luk=/206x305/v2/https://flxt.tmsimg.com/NowShowing/197251/197251_aa.jpg,Billi's family returns to China under the guise of a fake wedding to stealthily say goodbye to their beloved matriarch -- the only person that doesn't know she only has a few weeks to live.
45,Selma,1/9/2015,99,86,https://resizing.flixster.com/RrktbYRFUntspM19y8HCKhhVE7A=/206x305/v2/https://resizing.flixster.com/Qb9ZNyO451qLaiFlZLuT6yxJSSs=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2I4YWYyNTM4LTlkZTAtNDA0NS05OTRhLWFmYWNlZGQ1Y2RiYS53ZWJw,"Although the Civil Rights Act of 1964 legally desegregated the South, discrimination was still rampant in certain areas, making it very difficult for Blacks to register to vote. In 1965, an Alabama city became the battleground in the fight for suffrage. Despite violent opposition, Dr. Martin Luther King Jr. (David Oyelowo) and his followers pressed forward on an epic march from Selma to Montgomery, and their efforts culminated with President Lyndon Johnson signing the Voting Rights Act of 1965."
46,The Third Man,2/1/1949,99,93,https://resizing.flixster.com/A9kgLYmMpePvKLmYkw1-QxYGAEY=/206x305/v2/https://flxt.tmsimg.com/assets/p2110_p_v8_ae.jpg,"Set in postwar Vienna, Austria, ""The Third Man"" stars Joseph Cotten as Holly Martins, a writer of pulp Westerns, who arrives penniless as a guest of his childhood chum Harry Lime (Orson Welles), only to find him dead. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Maj. Calloway (Trevor Howard) and falling head-over-heels for Harry's grief-stricken lover, Anna (Alida Valli)."
47,Rear Window,9/1/1954,98,95,https://resizing.flixster.com/LGiQG3FU5e-FBoypNdlpNKi3gbk=/206x305/v2/https://flxt.tmsimg.com/NowShowing/4082/4082_aa.jpg,"A newspaper photographer with a broken leg passes time recuperating by observing his neighbors through his window. He sees what he believes to be a murder, and decides to solve the crime himself. With the help of his nurse and wife, he tries to catch the murderer without being killed himself."
48,E.T. the Extra-Terrestrial,6/11/1982,99,72,https://resizing.flixster.com/HCdoV_NHZ8NRZwH1zw5MDanPOtM=/206x305/v2/https://flxt.tmsimg.com/assets/p10998_p_v8_ao.jpg,"After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott (Henry Thomas). Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie (Drew Barrymore), and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien."
49,Seven Samurai,11/19/1956,100,97,https://resizing.flixster.com/0ZfT0bu2XjP9TW12zlRNCaYZc38=/206x305/v2/https://flxt.tmsimg.com/assets/p5588_p_v8_au.jpg,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food. A giant battle occurs when 40 bandits attack the village."
50,Grand Illusion,9/12/1937,97,92,https://resizing.flixster.com/ceRVwtI38w8OhCbxHLsGVqqTWGk=/206x305/v2/https://flxt.tmsimg.com/assets/p1115_p_v8_aa.jpg,"A group of French soldiers, including the patrician Captain de Boeldieu (Pierre Fresnay) and the working-class Lieutenant Maréchal (Jean Gabin), grapple with their own class differences after being captured and held in a World War I German prison camp. When the men are transferred to a high-security fortress, they must concoct a plan to escape beneath the watchful eye of aristocratic German officer von Rauffenstein (Erich von Stroheim), who has formed an unexpected bond with de Boeldieu."
51,Arrival,11/11/2016,94,82,https://resizing.flixster.com/ksbqXyCMEuWC4pNlpCQTS965m0g=/206x305/v2/https://flxt.tmsimg.com/NowShowing/163831/163831_ab.jpg,"Linguistics professor Louise Banks (Amy Adams) leads an elite team of investigators when gigantic spaceships touch down in 12 locations around the world. As nations teeter on the verge of global war, Banks and her crew must race against time to find a way to communicate with the extraterrestrial visitors. Hoping to unravel the mystery, she takes a chance that could threaten her life and quite possibly all of mankind."
